"행정구역(시군구)별","성별","연령별","항목","단위","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","계","계","주민등록연앙인구[명]","명","44752156.5","45208726","45637184","46062142.5","46475162.5","46837620","47163424.5","47534117","47877048.5","48125744.5","48308385.5","48485314","48683039.5","48887026.5","49130353.5","49404647.5","49656756","49879811.5","50111475.5","50345324.5","50558951.5","50763158","50951719","51112971.5","51230704","51300879.5","51337423.5","51349259","51333252.5",
"전국","계","0 - 4세","주민등록연앙인구[명]","명","3356287","3446456.5","3523898.5","3551601","3516120","3439974","3343717","3262382","3166192.5","3015710.5","2852509","2705352","2531164.5","2373071","2316154.5","2302912","2276741.5","2281200","2313461","2324347","2310730.5","2297243.5","2279974.5","2234921.5","2141131.5","2026168.5","1909182.5","1760637.5","1603407.5",
"전국","계","5 - 9세","주민등록연앙인구[명]","명","3270962","3191104.5","3167039","3198043.5","3290170","3386501","3470141.5","3546106","3570531","3532863.5","3467506","3381814","3297888","3198104","3044538.5","2880926.5","2733174.5","2557314.5","2400178.5","2345370.5","2333194","2308229","2314310.5","2346435.5","2356869.5","2340328","2323178.5","2305388.5","2259652.5",
"전국","계","10 - 14세","주민등록연앙인구[명]","명","4121882","4042142.5","3854805.5","3645312","3428770.5","3259486.5","3178844.5","3156496.5","3187737","3278939.5","3374487.5","3457590","3532629.5","3557222","3521067","3457992.5","3374071","3290667.5","3191849","3039416","2877382","2731443","2557069","2400659.5","2346220","2334187","2308928.5","2314984","2347218",
"전국","계","15 - 19세","주민등록연앙인구[명]","명","4069804","3956551.5","3953804.5","4007533.5","4059768","4085763.5","4007879","3826939.5","3622099","3407588","3239195.5","3159628","3137402.5","3168789.5","3261491.5","3359504","3444215","3519339.5","3544677","3508863.5","3446369.5","3364378.5","3283016","3185554","3034107.5","2872026","2725294.5","2551012.5","2395066",
"전국","계","20 - 24세","주민등록연앙인구[명]","명","4699560.5","4634453","4520543","4351167","4190668.5","4035322","3922696","3923161","3978666","4031154.5","4057274.5","3981199","3802950.5","3601632","3390578","3225672.5","3149080.5","3127804","3160370.5","3252668.5","3349079","3433785.5","3509440","3534683.5","3498959","3436410.5","3353801","3272265","3175015",
"전국","계","25 - 29세","주민등록연앙인구[명]","명","4372504","4468088.5","4527939.5","4609866.5","4676055","4661721.5","4598959","4491340","4324799.5","4162698.5","4003477.5","3890299.5","3894503.5","3955326","4014120.5","4048159","3977869.5","3799704.5","3599264.5","3390402.5","3226780.5","3151400.5","3130239","3161268.5","3252272.5","3347964.5","3430877","3505179.5","3529975",
"전국","계","30 - 34세","주민등록연앙인구[명]","명","4585341","4555708","4478879","4364029","4281439","4319138.5","4413012.5","4479771","4566458","4632112","4612819","4546133.5","4440949.5","4283008.5","4133156.5","3989906.5","3888698.5","3893137.5","3952330.5","4010160","4042034","3971975.5","3796511","3597549.5","3389545.5","3227142.5","3151167","3130579","3162503.5",
"전국","계","35 - 39세","주민등록연앙인구[명]","명","3716670.5","3946564","4147485.5","4337410.5","4479177","4512204","4479261.5","4411156.5","4305524","4226115.5","4261933","4353161","4418296","4506625","4581291","4580942.5","4532215","4431641.5","4273860.5","4122957.5","3976799","3875142.5","3881395.5","3941157.5","3999098.5","4031400","3960321","3786437.5","3590685.5",
"전국","계","40 - 44세","주민등록연앙인구[명]","명","2677577","2772762.5","2968882.5","3227180","3442706.5","3641488","3864770.5","4067760.5","4261047","4403516.5","4436490","4404869.5","4338463","4237804","4168839.5","4222513","4331690","4403553.5","4492969","4565850","4560614","4509393.5","4410395.5","4254207.5","4104695","3959875","3857129","3863754.5","3924880",
"전국","계","45 - 49세","주민등록연앙인구[명]","명","2204229","2288167.5","2387854","2461605","2533014.5","2610113","2701487","2897027","3154135.5","3367137","3563675","3785353.5","3986582","4180169","4329573.5","4380451.5","4368981.5","4312085","4216075.5","4147568.5","4195939","4301489.5","4372918","4462019.5","4535798","4531587.5","4478729.5","4380758","4227626.5",
"전국","계","50 - 54세","주민등록연앙인구[명]","명","2216406.5","2206194.5","2172130.5","2135022.5","2106929.5","2135960","2218567.5","2318702","2393870.5","2466122.5","2543477.5","2635665","2829603.5","3084155.5","3299005","3505440","3738881.5","3945392","4140623","4289309","4336465","4322181.5","4266240.5","4172159.5","4105674","4155086","4258855","4331294","4422823",
"전국","계","55 - 59세","주민등록연앙인구[명]","명","1773133.5","1851216.5","1902562","1948304","2048604","2123313.5","2116920","2088512.5","2056516.5","2033451.5","2065926","2149594.5","2249969.5","2327211","2402705","2486210","2585443.5","2781323.5","3035090","3247999.5","3449858","3678401.5","3882543","4075764.5","4224127.5","4273105","4259891.5","4207585","4118758.5",
"전국","계","60 - 64세","주민등록연앙인구[명]","명","1272330","1333488.5","1415666","1509470","1592066.5","1666677.5","1743656.5","1796704.5","1844930","1945287","2020810","2019689.5","1997902.5","1973280.5","1958728.5","1998643","2087203.5","2188466.5","2265097","2340619","2423152","2521163","2715138.5","2965432.5","3176004.5","3376125.5","3601453","3804709.5","3997811.5",
"전국","계","65 - 69세","주민등록연앙인구[명]","명","927828.5","965996","1014116","1058619.5","1108332.5","1160803","1221046.5","1301093.5","1391523","1471590.5","1544634.5","1621190.5","1676881","1728713.5","1830670","1911106.5","1918940.5","1904258","1885440.5","1877115.5","1920233","2008782","2109479","2185831","2262097","2345864.5","2443839.5","2635592","2881870",
"전국","계","70 - 74세","주민등록연앙인구[명]","명","689783.5","722406.5","742873","761376.5","777287","798556","836753","883474.5","927148.5","975445","1026261","1085010.5","1162612","1249692","1328156","1401770.5","1479452.5","1537053.5","1591015.5","1692241","1772314","1785086.5","1777348","1765525.5","1765782","1814165","1902232","2000708.5","2075136.5",
"전국","계","75 - 79세","주민등록연앙인구[명]","명","428905.5","441438.5","458158.5","477042","503176","539827.5","568191","587064.5","604846.5","621967.5","644337.5","681460.5","727178.5","770065.5","817037","867555","925787","999588.5","1080423.5","1153246","1222240","1296333.5","1353621.5","1408112.5","1506433.5","1585356","1603245.5","1602662.5","1597970",
"전국","계","80세 이상","주민등록연앙인구[명]","명","368952","385987","400547","418560","440878","460770.5","477521.5","496425.5","521024","554045","593572","627303.5","658063.5","692157.5","733241.5","784942.5","844310.5","907282","968750","1037190.5","1115768","1206729","1312079.5","1421689.5","1531888.5","1644088","1769298.5","1895711.5","2022853.5",
"전국","계","80 - 84세","주민등록연앙인구[명]","명","","","","264463.5","276737.5","287472","296874.5","309499.5","325016","346435","375701.5","399144","416340","433677","452232.5","476336.5","511783","553441","592117.5","633683.5","678338","729676","794235.5","864385","928484.5","989634.5","1056165","1110911.5","1163257.5",
"전국","계","85세 이상","주민등록연앙인구[명]","명","","","","154096.5","164140.5","173298.5","180647","186926","196008","207610","217870.5","228159.5","241723.5","258480.5","281009","308606","332527.5","353841","376632.5","403507","437430","477053","517844","557304.5","603404","654453.5","713133.5","784800","859596",
"전국","계","85 - 89세","주민등록연앙인구[명]","명","","","","","","","","136092.5","142192.5","150214","156994","163755.5","173749.5","186086.5","202834","224863.5","242801.5","256657.5","270553.5","285890.5","305839.5","333691.5","365080","394130.5","426388","460471.5","499619","549650.5","603274.5",
"전국","계","90 - 94세","주민등록연앙인구[명]","명","","","","","","","","41082","43822","46933.5","49742.5","52453.5","55065","58450.5","62984.5","67252","71894","78042.5","85407.5","95032","107274","117059.5","123946","131248.5","140858","153059.5","169218.5","188043.5","205711",
"전국","계","95 - 99세","주민등록연앙인구[명]","명","","","","","","","","7532.5","7769","8298.5","9108","10017","10985","11980.5","13120","14249","15365","16503","17869","19516","20944.5","22610","24806","27577.5","31501","36040","39069.5","41268.5","44029",
"전국","계","100세 이상","주민등록연앙인구[명]","명","","","","","","","","2219","2224.5","2164","2026","1933.5","1924","1963","2070.5","2241.5","2467","2638","2802.5","3068.5","3372","3692","4012","4348","4657","4882.5","5226.5","5837.5","6581.5",
"전국","남자","계","주민등록연앙인구[명]","명","22474415","22708953.5","22928170.5","23142037","23344090","23519753.5","23679248.5","23863275.5","24032275.5","24151327.5","24235167.5","24316613","24409658.5","24506619","24624126.5","24757073","24876418","24977163.5","25081787.5","25187494","25282928","25374486","25458057.5","25527814.5","25576752","25601961","25609342","25606080.5","25589102",
