"행정구역(시군구)별","연령별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","계","총전입[명]","명","7506691","7411784","7629098","7755286","7378430","7154226","7297099","7104398","7735491","7213422",
"전국","계","총전출[명]","명","7506691","7411784","7629098","7755286","7378430","7154226","7297099","7104398","7735491","7213422",
"전국","계","순이동[명]","명","0","0","0","0","0","0","0","0","0","0",
"전국","계","시도내이동-시군구내[명]","명","2827998","2864028","2957867","3014020","2840295","2701400","2776681","2659826","2926406","2649108",
"전국","계","시도내이동-시군구간 전입[명]","명","2165953","2124327","2163435","2189842","2084793","2041896","2091234","2059624","2274971","2117080",
"전국","계","시도내이동-시군구간 전출[명]","명","2165953","2124327","2163435","2189842","2084793","2041896","2091234","2059624","2274971","2117080",
"전국","계","시도간전입[명]","명","2512740","2423429","2507796","2551424","2453342","2410930","2429184","2384948","2534114","2447234",
"전국","계","시도간전출[명]","명","2512740","2423429","2507796","2551424","2453342","2410930","2429184","2384948","2534114","2447234",
"전국","0 - 4세","총전입[명]","명","457889","459745","461415","451344","417530","387118","379926","337461","337233","273394",
"전국","0 - 4세","총전출[명]","명","457889","459745","461415","451344","417530","387118","379926","337461","337233","273394",
"전국","0 - 4세","순이동[명]","명","0","0","0","0","0","0","0","0","0","0",
"전국","0 - 4세","시도내이동-시군구내[명]","명","183453","188472","191971","189085","172201","157243","158415","140880","142280","113198",
"전국","0 - 4세","시도내이동-시군구간 전입[명]","명","132567","132414","132751","128238","119887","111929","110126","98904","101201","82537",
"전국","0 - 4세","시도내이동-시군구간 전출[명]","명","132567","132414","132751","128238","119887","111929","110126","98904","101201","82537",
"전국","0 - 4세","시도간전입[명]","명","141869","138859","136693","134021","125442","117946","111385","97677","93752","77659",
"전국","0 - 4세","시도간전출[명]","명","141869","138859","136693","134021","125442","117946","111385","97677","93752","77659",
"전국","5 - 9세","총전입[명]","명","359933","359560","357208","348704","325398","314134","318132","296505","322547","283262",
"전국","5 - 9세","총전출[명]","명","359933","359560","357208","348704","325398","314134","318132","296505","322547","283262",
"전국","5 - 9세","순이동[명]","명","0","0","0","0","0","0","0","0","0","0",
"전국","5 - 9세","시도내이동-시군구내[명]","명","171130","175773","175314","171058","158929","152294","155198","143368","154160","134418",
"전국","5 - 9세","시도내이동-시군구간 전입[명]","명","91897","91556","90444","87137","81977","79675","82035","78065","87280","76656",
"전국","5 - 9세","시도내이동-시군구간 전출[명]","명","91897","91556","90444","87137","81977","79675","82035","78065","87280","76656",
"전국","5 - 9세","시도간전입[명]","명","96906","92231","91450","90509","84492","82165","80899","75072","81107","72188",
"전국","5 - 9세","시도간전출[명]","명","96906","92231","91450","90509","84492","82165","80899","75072","81107","72188",
"전국","10 - 14세","총전입[명]","명","376610","343609","327573","307697","263887","245501","247954","237099","249077","226828",
"전국","10 - 14세","총전출[명]","명","376610","343609","327573","307697","263887","245501","247954","237099","249077","226828",
"전국","10 - 14세","순이동[명]","명","0","0","0","0","0","0","0","0","0","0",
"전국","10 - 14세","시도내이동-시군구내[명]","명","184542","172562","165008","155316","133265","122616","124353","117516","125013","113598",
"전국","10 - 14세","시도내이동-시군구간 전입[명]","명","101402","90871","85268","78465","67944","63865","65044","63773","66119","59653",
"전국","10 - 14세","시도내이동-시군구간 전출[명]","명","101402","90871","85268","78465","67944","63865","65044","63773","66119","59653",
"전국","10 - 14세","시도간전입[명]","명","90666","80176","77297","73916","62678","59020","58557","55810","57945","53577",
"전국","10 - 14세","시도간전출[명]","명","90666","80176","77297","73916","62678","59020","58557","55810","57945","53577",
"전국","15 - 19세","총전입[명]","명","443122","429314","426241","423725","385388","360288","343080","330065","324253","286349",
"전국","15 - 19세","총전출[명]","명","443122","429314","426241","423725","385388","360288","343080","330065","324253","286349",
"전국","15 - 19세","순이동[명]","명","0","0","0","0","0","0","0","0","0","0",
"전국","15 - 19세","시도내이동-시군구내[명]","명","190853","191291","189563","189185","168370","151026","142442","128876","134858","112383",
"전국","15 - 19세","시도내이동-시군구간 전입[명]","명","120606","114244","111038","108692","98605","93395","88412","87160","84237","74574",
"전국","15 - 19세","시도내이동-시군구간 전출[명]","명","120606","114244","111038","108692","98605","93395","88412","87160","84237","74574",
"전국","15 - 19세","시도간전입[명]","명","131663","123779","125640","125848","118413","115867","112226","114029","105158","99392",
"전국","15 - 19세","시도간전출[명]","명","131663","123779","125640","125848","118413","115867","112226","114029","105158","99392",
"전국","20 - 24세","총전입[명]","명","559264","562797","605311","648271","639063","625278","636353","645758","714597","689609",
"전국","20 - 24세","총전출[명]","명","559264","562797","605311","648271","639063","625278","636353","645758","714597","689609",
"전국","20 - 24세","순이동[명]","명","0","0","0","0","0","0","0","0","0","0",
"전국","20 - 24세","시도내이동-시군구내[명]","명","174612","182798","197190","211000","201706","191184","195261","187716","209725","188315",
"전국","20 - 24세","시도내이동-시군구간 전입[명]","명","143535","142348","151982","162851","158949","157962","160932","164136","184811","177916",
"전국","20 - 24세","시도내이동-시군구간 전출[명]","명","143535","142348","151982","162851","158949","157962","160932","164136","184811","177916",
"전국","20 - 24세","시도간전입[명]","명","241117","237651","256139","274420","278408","276132","280160","293906","320061","323378",
"전국","20 - 24세","시도간전출[명]","명","241117","237651","256139","274420","278408","276132","280160","293906","320061","323378",
"전국","25 - 29세","총전입[명]","명","860960","794762","796270","814025","802204","818455","882610","918309","1014066","1005438",
"전국","25 - 29세","총전출[명]","명","860960","794762","796270","814025","802204","818455","882610","918309","1014066","1005438",
"전국","25 - 29세","순이동[명]","명","0","0","0","0","0","0","0","0","0","0",
