"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2021.12
"종합","전국",소계,소계,소계,5.6
"종합","수도권",소계,소계,소계,5.1
"종합","지방",소계,소계,소계,6.6
"종합","5대광역시",소계,소계,소계,6.0
"종합","8개도",소계,소계,소계,7.1
"종합","서울",소계,소계,소계,4.7
"종합","서울",강북권역,소계,소계,4.9
"종합","서울",강북권역,도심권,소계,5.2
"종합","서울",강북권역,동북권,소계,4.9
"종합","서울",강북권역,서북권,소계,4.9
"종합","서울",강남권역,소계,소계,4.5
"종합","서울",강남권역,서남권,소계,4.7
"종합","서울",강남권역,동남권,소계,4.2
"종합","부산",소계,소계,소계,5.8
"종합","대구",소계,소계,소계,6.4
"종합","인천",소계,소계,소계,5.9
"종합","광주",소계,소계,소계,6.2
"종합","대전",소계,소계,소계,6.0
"종합","울산",소계,소계,소계,6.3
"종합","세종",소계,소계,소계,5.0
"종합","경기",소계,소계,소계,5.8
"종합","강원",소계,소계,소계,6.6
"종합","충북",소계,소계,소계,7.7
"종합","충남",소계,소계,소계,7.4
"종합","전북",소계,소계,소계,7.5
"종합","전남",소계,소계,소계,7.2
"종합","경북",소계,소계,소계,8.1
"종합","경남",소계,소계,소계,6.8
"종합","제주",소계,소계,소계,5.6
"아파트","전국",소계,소계,소계,4.5
"아파트","수도권",소계,소계,소계,4.3
"아파트","지방",소계,소계,소계,4.8
"아파트","5대광역시",소계,소계,소계,4.4
"아파트","8개도",소계,소계,소계,5.2
"아파트","서울",소계,소계,소계,4.1
"아파트","서울",강북권역,소계,소계,4.2
"아파트","서울",강북권역,도심권,소계,4.4
"아파트","서울",강북권역,도심권,종로,4.4
"아파트","서울",강북권역,도심권,중,4.4
"아파트","서울",강북권역,도심권,용산,4.4
"아파트","서울",강북권역,동북권,소계,4.2
"아파트","서울",강북권역,동북권,성동,4.2
"아파트","서울",강북권역,동북권,광진,4.1
"아파트","서울",강북권역,동북권,동대문,4.1
"아파트","서울",강북권역,동북권,중랑,3.9
"아파트","서울",강북권역,동북권,성북,3.8
"아파트","서울",강북권역,동북권,강북,4.2
"아파트","서울",강북권역,동북권,도봉,4.3
"아파트","서울",강북권역,동북권,노원,4.3
"아파트","서울",강북권역,서북권,소계,4.3
"아파트","서울",강북권역,서북권,은평,4.8
"아파트","서울",강북권역,서북권,서대문,3.9
"아파트","서울",강북권역,서북권,마포,4.4
"아파트","서울",강남권역,소계,소계,4.0
"아파트","서울",강남권역,서남권,소계,4.0
"아파트","서울",강남권역,서남권,양천,4.5
"아파트","서울",강남권역,서남권,강서,3.8
"아파트","서울",강남권역,서남권,구로,4.2
"아파트","서울",강남권역,서남권,금천,4.3
"아파트","서울",강남권역,서남권,영등포,3.9
"아파트","서울",강남권역,서남권,동작,3.6
"아파트","서울",강남권역,서남권,관악,4.1
"아파트","서울",강남권역,동남권,소계,4.0
"아파트","서울",강남권역,동남권,서초,4.1
"아파트","서울",강남권역,동남권,강남,4.0
"아파트","서울",강남권역,동남권,송파,3.8
"아파트","서울",강남권역,동남권,강동,4.4
"아파트","부산",소계,소계,소계,4.5
"아파트","부산",영도,소계,소계,5.6
"아파트","부산",부산진,소계,소계,4.9
"아파트","부산",동래,소계,소계,4.1
"아파트","부산",남,소계,소계,4.3
"아파트","부산",북,소계,소계,4.3
"아파트","부산",해운대,소계,소계,4.2
"아파트","부산",사하,소계,소계,5.1
"아파트","부산",금정,소계,소계,4.0
"아파트","부산",연제,소계,소계,3.9
"아파트","부산",수영,소계,소계,4.6
"아파트","부산",사상,소계,소계,4.8
"아파트","부산",기장,소계,소계,4.1
"아파트","대구",소계,소계,소계,4.2
"아파트","대구",동,소계,소계,4.3
"아파트","대구",서,소계,소계,4.0
"아파트","대구",북,소계,소계,4.4
"아파트","대구",수성,소계,소계,4.3
"아파트","대구",달서,소계,소계,4.1
"아파트","대구",달성,소계,소계,4.1
"아파트","인천",소계,소계,소계,4.7
"아파트","인천",중,소계,소계,5.0
"아파트","인천",동,소계,소계,5.2
"아파트","인천",미추홀,소계,소계,5.1
"아파트","인천",연수,소계,소계,4.7
"아파트","인천",남동,소계,소계,4.8
"아파트","인천",부평,소계,소계,4.2
"아파트","인천",계양,소계,소계,4.9
"아파트","인천",서,소계,소계,4.4
"아파트","광주",소계,소계,소계,4.9
"아파트","광주",서,소계,소계,4.8
"아파트","광주",남,소계,소계,4.3
"아파트","광주",북,소계,소계,5.3
"아파트","광주",광산,소계,소계,5.1
"아파트","대전",소계,소계,소계,4.3
"아파트","대전",동,소계,소계,4.6
"아파트","대전",중,소계,소계,4.1
"아파트","대전",서,소계,소계,4.1
"아파트","대전",유성,소계,소계,4.5
"아파트","대전",대덕,소계,소계,4.6
"아파트","울산",소계,소계,소계,4.2
"아파트","울산",중,소계,소계,4.2
"아파트","울산",남,소계,소계,4.0
"아파트","울산",동,소계,소계,4.5
"아파트","울산",북,소계,소계,3.8
"아파트","울산",울주,소계,소계,5.0
"아파트","세종",소계,소계,소계,4.2
"아파트","경기",소계,소계,소계,4.4
"아파트","경기",수원,소계,소계,4.4
"아파트","경기",수원,장안,소계,4.2
"아파트","경기",수원,권선,소계,4.3
"아파트","경기",수원,팔달,소계,4.9
"아파트","경기",수원,영통,소계,4.4
"아파트","경기",성남,소계,소계,4.0
"아파트","경기",성남,수정,소계,4.3
"아파트","경기",성남,중원,소계,3.7
"아파트","경기",성남,분당,소계,3.9
"아파트","경기",의정부,소계,소계,4.7
"아파트","경기",안양,소계,소계,4.2
"아파트","경기",안양,만안,소계,3.8
"아파트","경기",안양,동안,소계,4.3
"아파트","경기",부천,소계,소계,4.2
"아파트","경기",광명,소계,소계,4.1
"아파트","경기",평택,소계,소계,4.8
"아파트","경기",동두천,소계,소계,5.0
"아파트","경기",안산,소계,소계,4.3
"아파트","경기",안산,상록,소계,4.0
"아파트","경기",안산,단원,소계,4.5
"아파트","경기",고양,소계,소계,4.4
"아파트","경기",고양,덕양,소계,4.3
"아파트","경기",고양,일산동,소계,4.5
"아파트","경기",고양,일산서,소계,4.4
"아파트","경기",과천,소계,소계,3.3
"아파트","경기",구리,소계,소계,4.3
"아파트","경기",남양주,소계,소계,4.4
"아파트","경기",오산,소계,소계,5.0
"아파트","경기",시흥,소계,소계,4.8
"아파트","경기",군포,소계,소계,4.3
"아파트","경기",의왕,소계,소계,4.3
"아파트","경기",하남,소계,소계,3.8
"아파트","경기",용인,소계,소계,4.4
"아파트","경기",용인,처인,소계,4.5
"아파트","경기",용인,기흥,소계,4.3
"아파트","경기",용인,수지,소계,4.4
"아파트","경기",파주,소계,소계,4.6
"아파트","경기",이천,소계,소계,5.8
"아파트","경기",안성,소계,소계,5.5
"아파트","경기",김포,소계,소계,4.4
"아파트","경기",화성,소계,소계,4.4
"아파트","경기",광주,소계,소계,4.4
"아파트","경기",양주,소계,소계,4.3
"아파트","경기",포천,소계,소계,6.1
"아파트","강원",소계,소계,소계,5.5
"아파트","강원",춘천,소계,소계,4.7
"아파트","강원",원주,소계,소계,5.1
"아파트","강원",속초,소계,소계,5.8
"아파트","충북",소계,소계,소계,5.2
"아파트","충북",청주,소계,소계,5.0
"아파트","충북",청주,흥덕,소계,5.1
"아파트","충북",충주,소계,소계,5.6
"아파트","충남",소계,소계,소계,5.8
"아파트","충남",천안,소계,소계,5.6
"아파트","충남",천안,동남,소계,5.7
"아파트","충남",천안,서북,소계,5.5
"아파트","충남",공주,소계,소계,7.5
"아파트","충남",아산,소계,소계,6.0
"아파트","전북",소계,소계,소계,5.7
"아파트","전북",전주,소계,소계,5.2
"아파트","전북",전주,완산,소계,5.1
"아파트","전북",전주,덕진,소계,5.3
"아파트","전북",군산,소계,소계,6.1
"아파트","전북",익산,소계,소계,5.7
"아파트","전남",소계,소계,소계,6.5
"아파트","전남",목포,소계,소계,6.1
"아파트","전남",광양,소계,소계,7.6
"아파트","경북",소계,소계,소계,5.2
"아파트","경북",포항,소계,소계,5.3
"아파트","경북",포항,북,소계,5.0
"아파트","경북",구미,소계,소계,5.4
"아파트","경남",소계,소계,소계,4.5
"아파트","경남",창원,소계,소계,4.4
"아파트","경남",창원,의창,소계,3.6
"아파트","경남",창원,성산,소계,4.0
"아파트","경남",창원,마산합포,소계,4.8
"아파트","경남",창원,마산회원,소계,5.0
"아파트","경남",창원,진해,소계,5.0
"아파트","경남",진주,소계,소계,4.2
"아파트","경남",통영,소계,소계,6.3
"아파트","경남",사천,소계,소계,5.8
"아파트","경남",김해,소계,소계,4.6
"아파트","경남",거제,소계,소계,4.7
"아파트","경남",양산,소계,소계,4.7
"아파트","제주",소계,소계,소계,4.7
"아파트","제주",제주,소계,소계,4.6
"연립다세대","전국",소계,소계,소계,4.8
"연립다세대","수도권",소계,소계,소계,4.5
"연립다세대","지방",소계,소계,소계,6.6
"연립다세대","5대광역시",소계,소계,소계,6.8
"연립다세대","8개도",소계,소계,소계,6.2
"연립다세대","서울",소계,소계,소계,3.8
"연립다세대","서울",강북권역,소계,소계,4.1
"연립다세대","서울",강북권역,도심권,소계,4.5
"연립다세대","서울",강북권역,동북권,소계,3.9
"연립다세대","서울",강북권역,서북권,소계,4.3
"연립다세대","서울",강남권역,소계,소계,3.7
"연립다세대","서울",강남권역,서남권,소계,3.8
"연립다세대","서울",강남권역,동남권,소계,3.6
"연립다세대","부산",소계,소계,소계,6.9
"연립다세대","대구",소계,소계,소계,5.9
"연립다세대","인천",소계,소계,소계,6.2
"연립다세대","광주",소계,소계,소계,5.7
"연립다세대","대전",소계,소계,소계,7.2
"연립다세대","울산",소계,소계,소계,6.0
"연립다세대","세종",소계,소계,소계,5.6
"연립다세대","경기",소계,소계,소계,5.9
"연립다세대","강원",소계,소계,소계,7.5
"연립다세대","충북",소계,소계,소계,9.8
"연립다세대","충남",소계,소계,소계,7.0
"연립다세대","전북",소계,소계,소계,7.3
"연립다세대","전남",소계,소계,소계,8.2
"연립다세대","경북",소계,소계,소계,8.0
"연립다세대","경남",소계,소계,소계,6.0
"연립다세대","제주",소계,소계,소계,5.2
"단독주택","전국",소계,소계,소계,6.8
"단독주택","수도권",소계,소계,소계,6.1
"단독주택","지방",소계,소계,소계,8.3
"단독주택","5대광역시",소계,소계,소계,7.4
"단독주택","8개도",소계,소계,소계,9.0
"단독주택","서울",소계,소계,소계,5.4
"단독주택","서울",강북권역,소계,소계,5.6
"단독주택","서울",강북권역,도심권,소계,6.0
"단독주택","서울",강북권역,동북권,소계,5.6
"단독주택","서울",강북권역,서북권,소계,5.7
"단독주택","서울",강남권역,소계,소계,5.2
"단독주택","서울",강남권역,서남권,소계,5.3
"단독주택","서울",강남권역,동남권,소계,5.0
"단독주택","부산",소계,소계,소계,7.3
"단독주택","대구",소계,소계,소계,7.9
"단독주택","인천",소계,소계,소계,8.6
"단독주택","광주",소계,소계,소계,8.3
"단독주택","대전",소계,소계,소계,6.7
"단독주택","울산",소계,소계,소계,8.2
"단독주택","세종",소계,소계,소계,9.1
"단독주택","경기",소계,소계,소계,7.2
"단독주택","강원",소계,소계,소계,8.2
"단독주택","충북",소계,소계,소계,9.2
"단독주택","충남",소계,소계,소계,9.2
"단독주택","전북",소계,소계,소계,9.0
"단독주택","전남",소계,소계,소계,9.3
"단독주택","경북",소계,소계,소계,10.0
"단독주택","경남",소계,소계,소계,8.9
"단독주택","제주",소계,소계,소계,6.3
