지역,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
강원도,10.24,8.94,9.21,11.21,11.44,11.73,12.13,12.69,13.4,14.21,15.08,15.98,16.9,17.83,18.82,19.67,20.3,20.88,21.4,22.01,22.71,23.29,23.72,24.07,24.97,26.26,27.58,29.29,31.17
경기도,6.95,6.04,6.0,7.09,7.21,7.39,7.63,7.93,8.26,8.59,8.94,9.33,9.7,10.08,10.58,11.04,11.37,11.65,11.95,12.41,12.92,13.41,13.89,14.3,14.9,15.65,16.41,17.39,18.46
경상남도,8.35,7.36,7.5,8.94,10.59,10.95,11.34,11.79,12.29,12.81,13.31,13.85,14.38,14.89,15.46,15.92,16.22,16.45,16.68,17.12,17.72,18.34,18.92,19.5,20.37,21.36,22.45,23.97,25.71
경상북도,11.89,10.36,10.68,12.92,13.28,13.75,14.3,14.98,15.74,16.51,17.33,18.24,19.05,19.69,20.55,21.44,22.03,22.32,22.41,22.82,23.59,24.42,25.16,25.88,26.97,28.29,29.64,31.4,33.37
광주광역시,6.56,5.47,5.61,6.96,7.06,7.19,7.43,7.76,8.07,8.39,8.79,9.27,9.75,10.27,10.92,11.45,11.81,12.18,12.56,13.13,13.79,14.44,15.09,15.69,16.43,17.2,17.96,18.96,20.03
대구광역시,5.87,5.13,5.39,6.49,6.74,7.04,7.4,7.84,8.28,8.74,9.22,9.78,10.35,10.94,11.66,12.37,12.93,13.34,13.7,14.29,15.1,15.96,16.76,17.5,18.49,19.63,20.8,22.23,23.83
대전광역시,6.36,5.42,5.49,6.61,6.73,6.9,7.14,7.45,7.77,8.11,8.46,8.87,9.27,9.67,10.24,10.8,11.21,11.56,11.89,12.35,12.93,13.57,14.29,14.95,15.73,16.67,17.7,18.99,20.35
부산광역시,5.52,5.01,5.28,6.31,6.6,6.92,7.3,7.76,8.26,8.78,9.34,9.99,10.69,11.44,12.31,13.17,13.93,14.58,15.19,16.05,17.12,18.21,19.25,20.27,21.57,23.04,24.57,26.47,28.49
서울특별시,5.51,4.76,4.87,5.92,6.1,6.34,6.62,6.95,7.32,7.7,8.12,8.64,9.19,9.77,10.49,11.18,11.74,12.29,12.87,13.62,14.47,15.29,16.06,16.73,17.57,18.57,19.57,20.83,22.2
세종특별자치시,,,,,,,,,,,,,,,,,,,,23.29,21.69,19.57,16.54,14.7,13.93,13.42,13.25,13.62,14.13
울산광역시,,,,,4.96,5.11,5.33,5.58,5.81,6.06,6.36,6.73,7.11,7.46,7.88,8.28,8.6,8.87,9.14,9.54,10.06,10.62,11.19,11.82,12.68,13.72,14.83,16.24,17.86
인천광역시,5.61,4.98,5.48,6.51,6.67,6.87,7.13,7.44,7.75,8.06,8.42,8.83,9.22,9.62,10.12,10.6,10.97,11.3,11.66,12.16,12.73,13.31,13.9,14.39,15.09,15.99,16.92,18.17,19.54
전라남도,12.24,10.71,11.32,14.12,14.64,15.23,15.93,16.84,17.87,19.02,20.3,21.6,22.83,24.0,25.38,26.45,26.95,27.37,27.79,28.44,29.22,29.93,30.58,31.2,32.06,32.89,33.81,35.3,36.95
전라북도,11.15,9.75,10.05,12.25,12.65,13.15,13.7,14.38,15.11,15.91,16.76,17.66,18.54,19.31,20.41,21.3,21.7,22.0,22.36,23.07,23.91,24.67,25.53,26.33,27.2,28.19,29.39,31.05,32.77
제주특별자치도,8.69,6.81,7.01,9.31,9.59,10.03,10.56,11.14,11.69,12.27,12.92,13.61,14.26,14.93,15.68,16.33,16.86,17.33,17.79,18.33,18.84,19.18,19.36,19.49,19.74,20.09,20.67,21.7,22.86
충청남도,12.12,10.61,10.95,13.35,13.79,14.35,15.0,15.79,16.68,17.56,18.36,18.96,19.37,19.87,20.6,21.18,21.47,21.6,21.65,21.82,22.33,22.88,23.44,23.9,24.45,25.1,25.95,27.28,28.69
충청북도,10.36,8.94,9.15,11.04,11.26,11.6,12.06,12.64,13.31,13.97,14.62,15.34,16.02,16.61,17.35,17.97,18.33,18.62,18.83,19.13,19.63,20.12,20.56,20.96,21.72,22.69,23.68,25.01,26.55
